"Country Region","Package Id",Type,"Net Price","Minimum selling price",Data,SMS,Voice,Networks
Spain,guay-mobile-3days-unlimited-x,sim,5.7,11.5,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-5days-unlimited-x,sim,8.6,19,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-7days-unlimited-x,sim,11.6,27,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-15days-unlimited-x,sim,23.6,49,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-unlimited-x,sim,46,72.5,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-10days-unlimited-topup-x,topup,16.1,35,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-15days-unlimited-topup-x,topup,23.6,49,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-unlimited-topup-x,topup,46,72.5,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-3days-unlimited-topup-x,topup,5.7,11.5,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-5days-unlimited-topup-x,topup,8.6,19,Unlimited,0,0,"Movistar [LTE]"
Spain,guay-mobile-7days-unlimited-topup-x,topup,11.6,27,Unlimited,0,0,"Movistar [LTE]"
Italy,mamma-mia-30days-3gb-topup-old,topup,4,10,"3 GB",0,0,"Vodafone [4G], WindTre [4G], Iliad [4G]"
Italy,mamma-mia-in-7days-1gb,sim,1.5,4,"1 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-7days-1gb-topup,topup,1.5,4,"1 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-15days-2gb,sim,2.1,6.5,"2 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-15days-2gb-topup,topup,2.1,6.5,"2 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-3gb,sim,2.3,8.5,"3 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-3gb-topup,topup,2.3,8.5,"3 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-5gb,sim,3.3,13,"5 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-5gb-topup,topup,3.3,13,"5 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-10gb,sim,5.1,20.5,"10 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-10gb-topup,topup,5.1,20.5,"10 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-20gb,sim,7.8,28.5,"20 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-20gb-topup,topup,7.8,28.5,"20 GB",0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-3days-unlimited,sim,5,11.5,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-3days-unlimited-topup,topup,5,11.5,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-5days-unlimited,sim,7,19,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-5days-unlimited-topup,topup,7,19,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-7days-unlimited,sim,8.8,27,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-7days-unlimited-topup,topup,8.8,27,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-10days-unlimited,sim,11.2,35,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-10days-unlimited-topup,topup,11.2,35,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-15days-unlimited,sim,20.5,49,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-15days-unlimited-topup,topup,20.5,49,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-unlimited,sim,28.8,72,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Italy,mamma-mia-in-30days-unlimited-topup,topup,28.8,72,Unlimited,0,0,"Wind Tre [5G], Vodafone [5G], Iliad [4G]"
Turkey,merhaba-7days-1gb,sim,1.3,4,"1 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-1gb-topup,topup,1.3,4,"1 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-2gb,sim,1.7,5.5,"2 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-2gb-topup,topup,1.7,5.5,"2 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-3gb,sim,1.8,6.5,"3 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-3gb-topup,topup,1.8,6.5,"3 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-5gb,sim,2.4,10,"5 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-5gb-topup,topup,2.4,10,"5 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-10gb,sim,3.5,15.5,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-10gb-topup,topup,3.5,15.5,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-20gb,sim,5.2,22.5,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-20gb-topup,topup,5.2,22.5,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-10gb,sim,3.7,15,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-10gb-topup,topup,3.7,15,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-20gb,sim,5.9,22,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-20gb-topup,topup,5.9,22,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-50gb,sim,12.8,34.5,"50 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-50gb-topup,topup,12.8,34.5,"50 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-10days-unlimited,sim,7.5,35,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-3days-unlimited-x,sim,3.1,12.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-5days-unlimited-x,sim,4.3,20.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-unlimited-x,sim,5.6,29.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-unlimited-x,sim,10.6,49,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-unlimited-x,sim,20,72.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-10days-unlimited-topup-x,topup,7.5,35,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-unlimited-topup-x,topup,10.6,49,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-unlimited-topup-x,topup,20,72.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-3days-unlimited-topup-x,topup,3.1,11.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-5days-unlimited-topup-x,topup,4.3,19,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-unlimited-topup-x,topup,5.6,27,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
"United Kingdom",uki-mobile-3days-unlimited,sim,4.5,11.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-5days-unlimited,sim,6.4,19,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-7days-unlimited,sim,8.3,27,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-10days-unlimited,sim,11.1,35,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-15days-unlimited,sim,15.8,49,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-30days-unlimited,sim,30,72.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-10days-unlimited-topup,topup,11.1,35,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-3days-unlimited-topup,topup,4.5,11.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-5days-unlimited-topup,topup,6.4,19,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-15days-unlimited-topup,topup,15.8,49,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-30days-unlimited-topup,topup,30,72.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-7days-unlimited-topup,topup,8.3,27,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-in-7days-1gb-topup,topup,0.8,4,"1 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-15days-2gb-topup,topup,1.6,7,"2 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-7days-1gb,sim,0.8,4,"1 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-3gb-topup,topup,2.2,9,"3 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-5gb-topup,topup,3.5,13,"5 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-15days-2gb,sim,1.6,7,"2 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-10gb-topup,topup,5.6,19.5,"10 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-20gb-topup,topup,9.1,32,"20 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-3gb,sim,2.2,9,"3 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-5gb,sim,3.5,13,"5 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-10gb,sim,5.6,19.5,"10 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-20gb,sim,9.1,32,"20 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-3days-1gb,sim,1.8,5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-3days-1gb-topup,topup,1.8,5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-3days-3gb,sim,2.9,10,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-3days-3gb-topup,topup,2.9,10,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-3gb,sim,3.1,12,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-3gb-topup,topup,3.1,12,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-5gb,sim,3.8,14,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-5gb-topup,topup,3.8,14,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-10gb,sim,6.1,21.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-7days-10gb-topup,topup,6.1,21.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-5gb,sim,4.1,15,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-5gb-topup,topup,4.1,15,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-10gb,sim,6.6,22.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-10gb-topup,topup,6.6,22.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-20gb,sim,10.4,36.5,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-15days-20gb-topup,topup,10.4,36.5,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-5gb,sim,4.5,15.5,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-5gb-topup,topup,4.5,15.5,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-10gb,sim,7.3,23.5,"10 GB",100,100,"EE [5G]"
